300.0000.201900.000000.720.0000000                                                                                                                         	300                      	201900                   	720                      	 	 	 	 	 	 	 	01/31/2017	 	 	                  -781.03                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
300.0000.201900.000000.740.0000000                                                                                                                         	300                      	201900                   	740                      	 	 	 	 	 	 	 	01/31/2017	 	 	                   537.27                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
300.0000.211100.000000.000.0000000                                                                                                                         	300                      	211100                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	                 69917.38                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
300.0000.231450.000000.000.0000000                                                                                                                         	300                      	231450                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -2053948.2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
300.0000.261165.000000.000.0000000                                                                                                                         	300                      	261165                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
350.0000.201100.000000.000.0000000                                                                                                                         	350                      	201100                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	                -12540601                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
350.0000.201120.000000.000.0000000                                                                                                                         	350                      	201120                   	000                      	 	 	 	 	 	 	 	01/31/2017	 	 	                  1341.01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
350.0000.201900.000000.300.0000000                                                                                                                         	350                      	201900                   	300                      	 	 	 	 	 	 	 	01/31/2017	 	 	               -833889.15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
350.0000.201900.000000.370.0000000                                                                                                                         	350                      	201900                   	370                      	 	 	 	 	 	 	 	01/31/2017	 	 	                        0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
350.0000.201900.000000.740.0000000                                                                                                                         	350                      	201900                   	740                      	 	 	 	 	 	 	 	01/31/2017	 	 	                -78931.35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
